[01:05:17] Can't kekulize mol.  Unkekulized atoms: 2 5

[01:05:17] Can't kekulize mol.  Unkekulized atoms: 3 12

[01:05:34] Can't kekulize mol.  Unkekulized atoms: 3 10 11 14 15 17

[01:05:34] Can't kekulize mol.  Unkekulized atoms: 3 7

[01:05:42] Can't kekulize mol.  Unkekulized atoms: 2 5

[01:05:42] Can't kekulize mol.  Unkekulized atoms: 3 8

[01:06:01] Can't kekulize mol.  Unkekulized atoms: 3 10

[01:06:08] Can't kekulize mol.  Unkekulized atoms: 2 5

[01:06:08] Can't kekulize mol.  Unkekulized atoms: 3 13

[01:06:14] Can't kekulize mol.  Unkekulized atoms: 3 14

[01:06:15] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:06:22] Can't kekulize mol.  Unkekulized atoms: 3 11

[01:06:32] Can't kekulize mol.  Unkekulized atoms: 2 5

[01:06:32] Can't kekulize mol.  Unkekulized atoms: 3 10

[01:06:36] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:06:57] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:06:58] Can't kekulize mol.  Unkekulized atoms: 3 7

[01:07:02] Can't kekulize mol.  Unkekulized atoms: 3 9

[01:07:06] Can't kekulize mol.  Unkekulized atoms: 3 8

[01:07:15] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:07:15] Can't kekulize mol.  Unkekulized atoms: 3 5 17 18 19 20

[01:07:16] Can't kekulize mol.  Unkekulized atoms: 3 7

[01:07:19] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:07:24] Can't kekulize mol.  Unkekulized atoms: 3 14

[01:07:30] Can't kekulize mol.  Unkekulized atoms: 3 8

[01:07:34] Can't kekulize mol.  Unkekulized atoms: 2 5

[01:07:34] Can't kekulize mol.  Unkekulized atoms: 3 10

[01:07:41] Can't kekulize mol.  Unkekulized atoms: 3 6

[01:07:44] Can't kekulize mol.  Unkekulized atoms: 3 8

[01:07:46] Can't kekulize mol.  Unkekulized atoms: 3 5

[01:07:48] Can't kekulize mol.  Unkekulized atoms: 3 10

[01:07:48] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 8 9

[01:08:28] Can't kekulize mol.  Unkekulized atoms: 3 6

[01:08:49] Can't kekulize mol.  Unkekulized atoms: 3 12

